SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Electric Conductivity (μS/cm),Colour,Odour,Turbidity (NTU),Temperature (ºC),Total Solids (mg/L)
522,BHUKHI KHADI U/S OF GIDC VILAYAT TA; VAGRA DIST BHARUCH.,CPCB,24,Gujarat,442,Bharuch,VAGRA,-,-,-,-,-,-,-,-,21.79546300,72.90714600,02-03-2020 08:30,481,"","",24.6,"",""
523,BHUKHI KHADI U/S OF GIDC VILAYAT TA; VAGRA DIST BHARUCH.,CPCB,24,Gujarat,442,Bharuch,VAGRA,-,-,-,-,-,-,-,-,21.79546300,72.90714600,07-04-2020 08:30,540,"","",2.8,"",""
524,BHUKHI KHADI U/S OF GIDC VILAYAT TA; VAGRA DIST BHARUCH.,CPCB,24,Gujarat,442,Bharuch,VAGRA,-,-,-,-,-,-,-,-,21.79546300,72.90714600,01-05-2020 08:30,1010,"","",5.4,"",""
525,BHUKHI KHADI U/S OF GIDC VILAYAT TA; VAGRA DIST BHARUCH.,CPCB,24,Gujarat,442,Bharuch,VAGRA,-,-,-,-,-,-,-,-,21.79546300,72.90714600,01-07-2020 08:30,802,"","",9,"",""
526,BHUKHI KHADI U/S OF GIDC VILAYAT TA; VAGRA DIST BHARUCH.,CPCB,24,Gujarat,442,Bharuch,VAGRA,-,-,-,-,-,-,-,-,21.79546300,72.90714600,10-08-2020 08:30,743,"","",2,"",""
527,BHUKHI KHADI U/S OF GIDC VILAYAT TA; VAGRA DIST BHARUCH.,CPCB,24,Gujarat,442,Bharuch,VAGRA,-,-,-,-,-,-,-,-,21.79546300,72.90714600,05-09-2020 08:30,319,"","",77,"",""
528,BHUKHI KHADI U/S OF GIDC VILAYAT TA; VAGRA DIST BHARUCH.,CPCB,24,Gujarat,442,Bharuch,VAGRA,-,-,-,-,-,-,-,-,21.79546300,72.90714600,04-11-2020 08:30,1109,"","",7,"",""
529,BHUKHI KHADI U/S OF GIDC VILAYAT TA; VAGRA DIST BHARUCH.,CPCB,24,Gujarat,442,Bharuch,VAGRA,-,-,-,-,-,-,-,-,21.79546300,72.90714600,05-12-2020 08:30,770,"","",2,"",""
530,BINDUSAROVAR SIDDHPUR (DIST.PATAN),CPCB,24,Gujarat,455,Patan,SIDHPUR,-,-,-,-,-,-,-,-,23.90835300,72.36446200,01-01-2018 08:30,2164,"","","","",""
531,BINDUSAROVAR SIDDHPUR (DIST.PATAN),CPCB,24,Gujarat,455,Patan,SIDHPUR,-,-,-,-,-,-,-,-,23.90835300,72.36446200,03-02-2018 08:30,2231,"","","","",""
532,BINDUSAROVAR SIDDHPUR (DIST.PATAN),CPCB,24,Gujarat,455,Patan,SIDHPUR,-,-,-,-,-,-,-,-,23.90835300,72.36446200,05-03-2018 08:30,2397,"","","","",""
533,BINDUSAROVAR SIDDHPUR (DIST.PATAN),CPCB,24,Gujarat,455,Patan,SIDHPUR,-,-,-,-,-,-,-,-,23.90835300,72.36446200,02-04-2018 08:30,2248,"","","","",""
534,BINDUSAROVAR SIDDHPUR (DIST.PATAN),CPCB,24,Gujarat,455,Patan,SIDHPUR,-,-,-,-,-,-,-,-,23.90835300,72.36446200,04-05-2018 08:30,2669,"","","","",""
535,BINDUSAROVAR SIDDHPUR (DIST.PATAN),CPCB,24,Gujarat,455,Patan,SIDHPUR,-,-,-,-,-,-,-,-,23.90835300,72.36446200,01-06-2018 08:30,2808,"","","","",""
536,BINDUSAROVAR SIDDHPUR (DIST.PATAN),CPCB,24,Gujarat,455,Patan,SIDHPUR,-,-,-,-,-,-,-,-,23.90835300,72.36446200,02-07-2018 08:30,2404,"","","","",""
537,BINDUSAROVAR SIDDHPUR (DIST.PATAN),CPCB,24,Gujarat,455,Patan,SIDHPUR,-,-,-,-,-,-,-,-,23.90835300,72.36446200,01-08-2018 08:30,2482,"","","","",""
538,BINDUSAROVAR SIDDHPUR (DIST.PATAN),CPCB,24,Gujarat,455,Patan,SIDHPUR,-,-,-,-,-,-,-,-,23.90835300,72.36446200,06-09-2018 08:30,2554,"","","","",""
539,BINDUSAROVAR SIDDHPUR (DIST.PATAN),CPCB,24,Gujarat,455,Patan,SIDHPUR,-,-,-,-,-,-,-,-,23.90835300,72.36446200,01-10-2018 08:30,2322,"","","","",""
540,BINDUSAROVAR SIDDHPUR (DIST.PATAN),CPCB,24,Gujarat,455,Patan,SIDHPUR,-,-,-,-,-,-,-,-,23.90835300,72.36446200,02-11-2018 08:30,2321,"","","","",""
541,BINDUSAROVAR SIDDHPUR (DIST.PATAN),CPCB,24,Gujarat,455,Patan,SIDHPUR,-,-,-,-,-,-,-,-,23.90835300,72.36446200,01-12-2018 08:30,2284,"","","","",""
542,BINDUSAROVAR SIDDHPUR (DIST.PATAN),CPCB,24,Gujarat,455,Patan,SIDHPUR,-,-,-,-,-,-,-,-,23.90835300,72.36446200,02-01-2019 08:30,2111,"","","","",""
543,BINDUSAROVAR SIDDHPUR (DIST.PATAN),CPCB,24,Gujarat,455,Patan,SIDHPUR,-,-,-,-,-,-,-,-,23.90835300,72.36446200,01-02-2019 08:30,2377,"","","","",""
544,BINDUSAROVAR SIDDHPUR (DIST.PATAN),CPCB,24,Gujarat,455,Patan,SIDHPUR,-,-,-,-,-,-,-,-,23.90835300,72.36446200,01-03-2019 08:30,2267,"","","","",""
545,BINDUSAROVAR SIDDHPUR (DIST.PATAN),CPCB,24,Gujarat,455,Patan,SIDHPUR,-,-,-,-,-,-,-,-,23.90835300,72.36446200,01-04-2019 08:30,2457,"","","","",""
546,BINDUSAROVAR SIDDHPUR (DIST.PATAN),CPCB,24,Gujarat,455,Patan,SIDHPUR,-,-,-,-,-,-,-,-,23.90835300,72.36446200,01-05-2019 08:30,2682,"","","","",""
547,BINDUSAROVAR SIDDHPUR (DIST.PATAN),CPCB,24,Gujarat,455,Patan,SIDHPUR,-,-,-,-,-,-,-,-,23.90835300,72.36446200,01-06-2019 08:30,2571,"","","","",""
548,BINDUSAROVAR SIDDHPUR (DIST.PATAN),CPCB,24,Gujarat,455,Patan,SIDHPUR,-,-,-,-,-,-,-,-,23.90835300,72.36446200,04-07-2019 08:30,2366,"","","","",""
549,BINDUSAROVAR SIDDHPUR (DIST.PATAN),CPCB,24,Gujarat,455,Patan,SIDHPUR,-,-,-,-,-,-,-,-,23.90835300,72.36446200,01-08-2019 08:30,698,"","","","",""
550,BINDUSAROVAR SIDDHPUR (DIST.PATAN),CPCB,24,Gujarat,455,Patan,SIDHPUR,-,-,-,-,-,-,-,-,23.90835300,72.36446200,03-09-2019 08:30,2306,"","","","",""
551,BINDUSAROVAR SIDDHPUR (DIST.PATAN),CPCB,24,Gujarat,455,Patan,SIDHPUR,-,-,-,-,-,-,-,-,23.90835300,72.36446200,01-10-2019 08:30,1054,"","","","",""
552,BINDUSAROVAR SIDDHPUR (DIST.PATAN),CPCB,24,Gujarat,455,Patan,SIDHPUR,-,-,-,-,-,-,-,-,23.90835300,72.36446200,07-11-2019 08:30,2310,"","","","",""
553,BINDUSAROVAR SIDDHPUR (DIST.PATAN),CPCB,24,Gujarat,455,Patan,SIDHPUR,-,-,-,-,-,-,-,-,23.90835300,72.36446200,02-12-2019 08:30,2139,"","","","",""
554,BINDUSAROVAR SIDDHPUR (DIST.PATAN),CPCB,24,Gujarat,455,Patan,SIDHPUR,-,-,-,-,-,-,-,-,23.90835300,72.36446200,04-01-2020 08:30,2048,"","",0.2,"",6
555,BINDUSAROVAR SIDDHPUR (DIST.PATAN),CPCB,24,Gujarat,455,Patan,SIDHPUR,-,-,-,-,-,-,-,-,23.90835300,72.36446200,04-02-2020 08:30,2358,"","",1.5,"",""
556,BINDUSAROVAR SIDDHPUR (DIST.PATAN),CPCB,24,Gujarat,455,Patan,SIDHPUR,-,-,-,-,-,-,-,-,23.90835300,72.36446200,05-03-2020 08:30,2449,"","",0.5,"",""
557,BINDUSAROVAR SIDDHPUR (DIST.PATAN),CPCB,24,Gujarat,455,Patan,SIDHPUR,-,-,-,-,-,-,-,-,23.90835300,72.36446200,11-04-2020 08:30,2509,"","",0.8,"",""
558,BINDUSAROVAR SIDDHPUR (DIST.PATAN),CPCB,24,Gujarat,455,Patan,SIDHPUR,-,-,-,-,-,-,-,-,23.90835300,72.36446200,01-05-2020 08:30,2540,"","",0.2,"",""
559,BINDUSAROVAR SIDDHPUR (DIST.PATAN),CPCB,24,Gujarat,455,Patan,SIDHPUR,-,-,-,-,-,-,-,-,23.90835300,72.36446200,01-06-2020 08:30,3113,"","",0.6,"",""
560,BINDUSAROVAR SIDDHPUR (DIST.PATAN),CPCB,24,Gujarat,455,Patan,SIDHPUR,-,-,-,-,-,-,-,-,23.90835300,72.36446200,01-07-2020 08:30,2053,"","",0.3,"",""
561,BINDUSAROVAR SIDDHPUR (DIST.PATAN),CPCB,24,Gujarat,455,Patan,SIDHPUR,-,-,-,-,-,-,-,-,23.90835300,72.36446200,04-08-2020 08:30,1082,"","",13,"",""
562,BOREWELL AT DHANGADHRA NEAR DHANGADHRA CHEMICALS,CPCB,24,Gujarat,460,Surendranagar,DHRANGADHRA,-,-,-,-,-,-,-,-,22.98097500,71.47390000,25-04-2019 08:30,5157,Clear,"",3,"",""
563,BOREWELL AT DHANGADHRA NEAR DHANGADHRA CHEMICALS,CPCB,24,Gujarat,460,Surendranagar,DHRANGADHRA,-,-,-,-,-,-,-,-,22.98097500,71.47390000,03-04-2020 08:30,8026,"","",2,"",""
564,BOREWELL AT DHANGADHRA NEAR DHANGADHRA CHEMICALS,CPCB,24,Gujarat,460,Surendranagar,DHRANGADHRA,-,-,-,-,-,-,-,-,22.98097500,71.47390000,20-10-2020 08:30,4648,"","",2,"",""
565,BORE WELL AT MSW DISPOSAL SITE OF SURAT MUNICIPAL CORPORATION AT VILL. KHAJOD DIST. SURAT.,CPCB,24,Gujarat,459,Surat,SURAT CITY,-,-,-,-,-,-,-,-,21.11614200,72.78802800,05-04-2020 08:30,Clear,"","",Clear,"",""
566,BOREWELL AT PIRAMAL GLASS VILLAGE TARSADI AT KOSAMBA INDUSTRIAL AREA SURAT,CPCB,24,Gujarat,459,Surat,MANGROL,-,-,-,-,-,-,-,-,21.45858700,72.94299700,02-04-2018 08:30,3532,"","",5.5,"",""
567,BOREWELL AT PIRAMAL GLASS VILLAGE TARSADI AT KOSAMBA INDUSTRIAL AREA SURAT,CPCB,24,Gujarat,459,Surat,MANGROL,-,-,-,-,-,-,-,-,21.45858700,72.94299700,01-10-2018 08:30,3366,"","",2,"",""
568,BOREWELL AT PIRAMAL GLASS VILLAGE TARSADI AT KOSAMBA INDUSTRIAL AREA SURAT,CPCB,24,Gujarat,459,Surat,MANGROL,-,-,-,-,-,-,-,-,21.45858700,72.94299700,04-04-2019 08:30,4126,Clear,"",3.5,"",""
569,BOREWELL AT PIRAMAL GLASS VILLAGE TARSADI AT KOSAMBA INDUSTRIAL AREA SURAT,CPCB,24,Gujarat,459,Surat,MANGROL,-,-,-,-,-,-,-,-,21.45858700,72.94299700,01-10-2019 08:30,3840,Clear,"",2,"",""
570,BOREWELL AT PIRAMAL GLASS VILLAGE TARSADI AT KOSAMBA INDUSTRIAL AREA SURAT,CPCB,24,Gujarat,459,Surat,MANGROL,-,-,-,-,-,-,-,-,21.45858700,72.94299700,07-04-2020 08:30,3595,"","",3,"",""
571,BOREWELL AT PIRAMAL GLASS VILLAGE TARSADI AT KOSAMBA INDUSTRIAL AREA SURAT,CPCB,24,Gujarat,459,Surat,MANGROL,-,-,-,-,-,-,-,-,21.45858700,72.94299700,01-10-2020 08:30,4019,"","",1,"",""
572,BOREWELL AT PRIMARY HEALTH CENTER KADODARA SURAT,CPCB,24,Gujarat,459,Surat,PALSANA,-,-,-,-,-,-,-,-,21.17007500,72.96507000,03-04-2018 08:30,1672,"","",1.3,"",""
573,BOREWELL AT PRIMARY HEALTH CENTER KADODARA SURAT,CPCB,24,Gujarat,459,Surat,PALSANA,-,-,-,-,-,-,-,-,21.17007500,72.96507000,03-10-2018 08:30,1599,"","",3,"",""
574,BOREWELL AT PRIMARY HEALTH CENTER KADODARA SURAT,CPCB,24,Gujarat,459,Surat,PALSANA,-,-,-,-,-,-,-,-,21.17007500,72.96507000,02-04-2019 08:30,1449,Clear,"",2,"",""
575,BOREWELL AT PRIMARY HEALTH CENTER KADODARA SURAT,CPCB,24,Gujarat,459,Surat,PALSANA,-,-,-,-,-,-,-,-,21.17007500,72.96507000,03-10-2019 08:30,2119,Clear,"",3,"",""
576,BOREWELL AT PRIMARY HEALTH CENTER KADODARA SURAT,CPCB,24,Gujarat,459,Surat,PALSANA,-,-,-,-,-,-,-,-,21.17007500,72.96507000,06-04-2020 08:30,2280,"","",4,"",""
577,BOREWELL AT PRIMARY HEALTH CENTER KADODARA SURAT,CPCB,24,Gujarat,459,Surat,PALSANA,-,-,-,-,-,-,-,-,21.17007500,72.96507000,01-10-2020 08:30,2032,"","",2.5,"",""
578,BORE WELL AT STP MADHAPAR DIST. RAJKOT.,CPCB,24,Gujarat,457,Rajkot,RAJKOT,-,-,-,-,-,-,-,-,22.32530300,70.76879700,13-04-2018 08:30,1900,"","","","",""
579,BORE WELL AT STP MADHAPAR DIST. RAJKOT.,CPCB,24,Gujarat,457,Rajkot,RAJKOT,-,-,-,-,-,-,-,-,22.32530300,70.76879700,25-10-2018 08:30,2067,"","",2,"",""
580,BORE WELL AT STP MADHAPAR DIST. RAJKOT.,CPCB,24,Gujarat,457,Rajkot,RAJKOT,-,-,-,-,-,-,-,-,22.32530300,70.76879700,22-04-2019 08:30,2348,Clear,"","","",""
581,BORE WELL AT STP MADHAPAR DIST. RAJKOT.,CPCB,24,Gujarat,457,Rajkot,RAJKOT,-,-,-,-,-,-,-,-,22.32530300,70.76879700,05-10-2019 08:30,4195,Clear,"","","",""
582,BORE WELL AT STP MADHAPAR DIST. RAJKOT.,CPCB,24,Gujarat,457,Rajkot,RAJKOT,-,-,-,-,-,-,-,-,22.32530300,70.76879700,08-04-2020 08:30,Clear,"","",Clear,"",""
583,BORE WELL AT VORAGAMDI,CPCB,24,Gujarat,461,Vadodara,VADODARA,-,-,-,-,-,-,-,-,22.22032800,73.22150100,01-10-2019 08:30,1248,Clear,"","","",""
584,BORE WELL AT VORAGAMDI,CPCB,24,Gujarat,461,Vadodara,VADODARA,-,-,-,-,-,-,-,-,22.22032800,73.22150100,03-04-2020 08:30,1368,"","",0.7,"",""
585,BORE WELL AT VORAGAMDI,CPCB,24,Gujarat,461,Vadodara,VADODARA,-,-,-,-,-,-,-,-,22.22032800,73.22150100,03-10-2020 08:30,1251,"","",0.2,"",""
586,BOREWELL CETP-NARODA GIDC NARODA-AHMEDABAD,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,23.08125300,72.66772500,03-04-2018 08:30,1525,Colorless,"","","",""
587,BOREWELL CETP-NARODA GIDC NARODA-AHMEDABAD,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,23.08125300,72.66772500,03-10-2018 08:30,1554,"","","","",""
588,BOREWELL CETP-NARODA GIDC NARODA-AHMEDABAD,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,23.08125300,72.66772500,01-04-2019 08:30,1535,Clear,"","","",""
589,BOREWELL CETP-NARODA GIDC NARODA-AHMEDABAD,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,23.08125300,72.66772500,02-10-2019 08:30,1399,Clear,"","","",""
590,BOREWELL CETP-NARODA GIDC NARODA-AHMEDABAD,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,23.08125300,72.66772500,09-04-2020 08:30,2607,"","",1.3,"",""
591,BOREWELL CETP-NARODA GIDC NARODA-AHMEDABAD,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,23.08125300,72.66772500,01-10-2020 08:30,1366,"","",Other,"",""
592,BOREWELL D/S TSDF SITE GIDC INDUSTRIAL AREA VAPI,CPCB,24,Gujarat,462,Valsad,PARDI,-,-,-,-,-,-,-,-,20.36666700,72.90000100,04-04-2018 08:30,620,"","","","",""
593,BOREWELL D/S TSDF SITE GIDC INDUSTRIAL AREA VAPI,CPCB,24,Gujarat,462,Valsad,PARDI,-,-,-,-,-,-,-,-,20.36666700,72.90000100,05-10-2018 08:30,754,"","",3.8,"",""
594,BOREWELL D/S TSDF SITE GIDC INDUSTRIAL AREA VAPI,CPCB,24,Gujarat,462,Valsad,PARDI,-,-,-,-,-,-,-,-,20.36666700,72.90000100,04-04-2019 08:30,672,Clear,"",12,"",""
595,BOREWELL D/S TSDF SITE GIDC INDUSTRIAL AREA VAPI,CPCB,24,Gujarat,462,Valsad,PARDI,-,-,-,-,-,-,-,-,20.36666700,72.90000100,03-10-2019 08:30,498,Clear,"",9,"",""
596,BOREWELL D/S TSDF SITE GIDC INDUSTRIAL AREA VAPI,CPCB,24,Gujarat,462,Valsad,PARDI,-,-,-,-,-,-,-,-,20.36666700,72.90000100,09-04-2020 08:30,551,"","",Clear,"",""
597,BOREWELL D/S TSDF SITE GIDC INDUSTRIAL AREA VAPI,CPCB,24,Gujarat,462,Valsad,PARDI,-,-,-,-,-,-,-,-,20.36666700,72.90000100,01-10-2020 08:30,598,"","",0.5,"",""
598,BOREWELL KADI INDUSTRIAL AREA,CPCB,24,Gujarat,451,Mahesana,KADI,-,-,-,-,-,-,-,-,23.30994500,72.26423600,01-01-2018 08:30,"",Colorless,"","","",""
599,BOREWELL KADI INDUSTRIAL AREA,CPCB,24,Gujarat,451,Mahesana,KADI,-,-,-,-,-,-,-,-,23.30994500,72.26423600,01-02-2018 08:30,"",Colorless,"","","",""
600,BOREWELL KADI INDUSTRIAL AREA,CPCB,24,Gujarat,451,Mahesana,KADI,-,-,-,-,-,-,-,-,23.30994500,72.26423600,02-04-2018 08:30,1667,"","","","",""
601,BOREWELL KADI INDUSTRIAL AREA,CPCB,24,Gujarat,451,Mahesana,KADI,-,-,-,-,-,-,-,-,23.30994500,72.26423600,01-10-2018 08:30,1840,"","",2.3,"",""
602,BOREWELL KADI INDUSTRIAL AREA,CPCB,24,Gujarat,451,Mahesana,KADI,-,-,-,-,-,-,-,-,23.30994500,72.26423600,02-04-2019 08:30,1819,Clear,"","","",""
603,BOREWELL KADI INDUSTRIAL AREA,CPCB,24,Gujarat,451,Mahesana,KADI,-,-,-,-,-,-,-,-,23.30994500,72.26423600,04-10-2019 08:30,1501,Clear,"","","",""
604,BOREWELL KADI INDUSTRIAL AREA,CPCB,24,Gujarat,451,Mahesana,KADI,-,-,-,-,-,-,-,-,23.30994500,72.26423600,01-04-2020 08:30,1980,"","",0.4,"",""
605,BOREWELL NEAR CENTER OF EXCELLENCE BUILDING GIDC VATVA AHMEDABAD,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,22.99877300,72.55463700,03-04-2018 08:30,3267,Colorless,"","","",""
606,BOREWELL NEAR CENTER OF EXCELLENCE BUILDING GIDC VATVA AHMEDABAD,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,22.99877300,72.55463700,03-10-2018 08:30,2432,Colorless,"","","",""
607,BOREWELL NEAR CENTER OF EXCELLENCE BUILDING GIDC VATVA AHMEDABAD,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,22.99877300,72.55463700,01-04-2019 08:30,2408,Clear,"","","",""
608,BOREWELL NEAR CENTER OF EXCELLENCE BUILDING GIDC VATVA AHMEDABAD,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,22.99877300,72.55463700,02-10-2019 08:30,2701,Clear,"","","",""
609,BOREWELL NEAR CENTER OF EXCELLENCE BUILDING GIDC VATVA AHMEDABAD,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,22.99877300,72.55463700,09-04-2020 08:30,2143,"","",0.2,"",""
610,BOREWELL NEAR CENTER OF EXCELLENCE BUILDING GIDC VATVA AHMEDABAD,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,22.99877300,72.55463700,03-10-2020 08:30,2401,"","",Other,"",""
611,BOREWELL NEAR GIDC ODHAV INDUSTRIAL ASSOCIATION BUILDING GIDC ODHAV AHMEDABAD,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,23.02154800,72.66358100,03-04-2018 08:30,1674,Colorless,"","","",""
612,BOREWELL NEAR GIDC ODHAV INDUSTRIAL ASSOCIATION BUILDING GIDC ODHAV AHMEDABAD,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,23.02154800,72.66358100,03-10-2018 08:30,1735,Colorless,"","","",""
613,BOREWELL NEAR GIDC ODHAV INDUSTRIAL ASSOCIATION BUILDING GIDC ODHAV AHMEDABAD,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,23.02154800,72.66358100,01-04-2019 08:30,1763,Clear,"","","",""
614,BOREWELL NEAR GIDC ODHAV INDUSTRIAL ASSOCIATION BUILDING GIDC ODHAV AHMEDABAD,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,23.02154800,72.66358100,02-10-2019 08:30,1860,Clear,"","","",""
615,BOREWELL NEAR GIDC ODHAV INDUSTRIAL ASSOCIATION BUILDING GIDC ODHAV AHMEDABAD,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,23.02154800,72.66358100,09-04-2020 08:30,1954,"","",0.2,"",""
616,BOREWELL NEAR GIDC ODHAV INDUSTRIAL ASSOCIATION BUILDING GIDC ODHAV AHMEDABAD,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,23.02154800,72.66358100,03-10-2020 08:30,1826,"","",Other,"",""
617,BOREWELL NEAR MUNICIPAL SOLID WASTE SITE- GYASPUR NAROL AHMEDABAD,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,22.97786800,72.54381600,02-02-2018 08:30,5759,"","","","",""
618,BOREWELL NEAR MUNICIPAL SOLID WASTE SITE- GYASPUR NAROL AHMEDABAD,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,22.97786800,72.54381600,05-03-2018 08:30,5769,"","","","",""
619,BOREWELL NEAR MUNICIPAL SOLID WASTE SITE- GYASPUR NAROL AHMEDABAD,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,22.97786800,72.54381600,03-04-2018 08:30,5267,"","","","",""
620,BOREWELL NEAR MUNICIPAL SOLID WASTE SITE- GYASPUR NAROL AHMEDABAD,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,22.97786800,72.54381600,01-05-2018 08:30,6053,"","","","",""
621,BOREWELL NEAR MUNICIPAL SOLID WASTE SITE- GYASPUR NAROL AHMEDABAD,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,22.97786800,72.54381600,02-06-2018 08:30,6095,"","",3.4,"",""
622,BOREWELL NEAR MUNICIPAL SOLID WASTE SITE- GYASPUR NAROL AHMEDABAD,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,22.97786800,72.54381600,03-07-2018 08:30,5657,"","","","",""
623,BOREWELL NEAR MUNICIPAL SOLID WASTE SITE- GYASPUR NAROL AHMEDABAD,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,22.97786800,72.54381600,01-08-2018 08:30,5587,"","","","",""
624,BOREWELL NEAR MUNICIPAL SOLID WASTE SITE- GYASPUR NAROL AHMEDABAD,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,22.97786800,72.54381600,06-09-2018 08:30,6251,"","","","",""
625,BOREWELL NEAR MUNICIPAL SOLID WASTE SITE- GYASPUR NAROL AHMEDABAD,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,22.97786800,72.54381600,03-10-2018 08:30,5466,"","","","",""
626,BOREWELL NEAR MUNICIPAL SOLID WASTE SITE- GYASPUR NAROL AHMEDABAD,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,22.97786800,72.54381600,03-11-2018 08:30,5324,"","","","",""
627,BOREWELL NEAR MUNICIPAL SOLID WASTE SITE- GYASPUR NAROL AHMEDABAD,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,22.97786800,72.54381600,01-12-2018 08:30,5274,"","","","",""
628,BOREWELL NEAR MUNICIPAL SOLID WASTE SITE- GYASPUR NAROL AHMEDABAD,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,22.97786800,72.54381600,01-01-2019 08:30,4678,"","","","",""
629,BOREWELL NEAR MUNICIPAL SOLID WASTE SITE- GYASPUR NAROL AHMEDABAD,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,22.97786800,72.54381600,04-02-2019 08:30,5150,Clear,"",1.4,"",""
630,BOREWELL NEAR MUNICIPAL SOLID WASTE SITE- GYASPUR NAROL AHMEDABAD,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,22.97786800,72.54381600,02-03-2019 08:30,3257,Clear,"",10,"",""
631,BOREWELL NEAR MUNICIPAL SOLID WASTE SITE- GYASPUR NAROL AHMEDABAD,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,22.97786800,72.54381600,02-04-2019 08:30,3183,Clear,"","","",""
632,BOREWELL NEAR MUNICIPAL SOLID WASTE SITE- GYASPUR NAROL AHMEDABAD,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,22.97786800,72.54381600,01-05-2019 08:30,5769,Clear,"","","",""
633,BOREWELL NEAR MUNICIPAL SOLID WASTE SITE- GYASPUR NAROL AHMEDABAD,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,22.97786800,72.54381600,01-06-2019 08:30,3931,Clear,"","","",""
634,BOREWELL NEAR MUNICIPAL SOLID WASTE SITE- GYASPUR NAROL AHMEDABAD,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,22.97786800,72.54381600,01-07-2019 08:30,3884,Clear,"","","",""
635,BOREWELL NEAR MUNICIPAL SOLID WASTE SITE- GYASPUR NAROL AHMEDABAD,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,22.97786800,72.54381600,02-08-2019 08:30,6174,Clear,"","","",""
636,BOREWELL NEAR MUNICIPAL SOLID WASTE SITE- GYASPUR NAROL AHMEDABAD,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,22.97786800,72.54381600,03-09-2019 08:30,4145,Clear,"","","",""
